PKG,Materials
PH,Industrials
PAYX,Information Technology
PYPL,Information Technology
PNR,Industrials
PBCT,Financials
PEP,Consumer Staples
PKI,Health Care
PRGO,Health Care
PFE,Health Care
PM,Consumer Staples
PSX,Energy
PNW,Utilities
PXD,Energy
PNC,Financials
RL,Consumer Discretionary
PPG,Materials
PPL,Utilities
PFG,Financials
PG,Consumer Staples
PGR,Financials
PLD,Real Estate
PRU,Financials
PEG,Utilities
PSA,Real Estate
PHM,Consumer Discretionary
PVH,Consumer Discretionary
QRVO,Information Technology
PWR,Industrials
QCOM,Information Technology
DGX,Health Care
RJF,Financials
RTN,Industrials
O,Real Estate
RHT,Information Technology
REG,Real Estate
REGN,Health Care
RF,Financials
RSG,Industrials
RMD,Health Care
RHI,Industrials
ROK,Industrials
ROL,Industrials
ROP,Industrials
ROST,Consumer Discretionary
RCL,Consumer Discretionary
CRM,Information Technology
SBAC,Real Estate
SLB,Energy
STX,Information Technology
SEE,Materials
SRE,Utilities
SHW,Materials
SPG,Real Estate
SWKS,Information Technology
SLG,Real Estate
SNA,Industrials
SO,Utilities
LUV,Industrials
SPGI,Financials
SWK,Industrials
SBUX,Consumer Discretionary
STT,Financials
SYK,Health Care
STI,Financials
SIVB,Financials
SYMC,Information Technology
SYF,Financials
SNPS,Information Technology
SYY,Consumer Staples
TROW,Financials
TTWO,Communication Services
TPR,Consumer Discretionary
TGT,Consumer Discretionary
TEL,Information Technology
FTI,Energy
TFX,Health Care
TXN,Information Technology
TXT,Industrials
TMO,Health Care
TIF,Consumer Discretionary
TWTR,Communication Services
TJX,Consumer Discretionary
TMK,Financials
TSS,Information Technology
TSCO,Consumer Discretionary
TDG,Industrials
TRV,Financials
TRIP,Communication Services
FOXA,Communication Services
FOX,Communication Services
TSN,Consumer Staples
UDR,Real Estate
ULTA,Consumer Discretionary
USB,Financials
UAA,Consumer Discretionary
UA,Consumer Discretionary
UNP,Industrials
UAL,Industrials
UNH,Health Care
UPS,Industrials
URI,Industrials
UTX,Industrials
UHS,Health Care
UNM,Financials
VFC,Consumer Discretionary
VLO,Energy
VAR,Health Care
VTR,Real Estate
VRSN,Information Technology
VRSK,Industrials
VZ,Communication Services
VRTX,Health Care
VIAB,Communication Services
V,Information Technology
VNO,Real Estate
VMC,Materials
WAB,Industrials
WMT,Consumer Staples
WBA,Consumer Staples
DIS,Communication Services
WM,Industrials
WAT,Health Care
WEC,Utilities
WCG,Health Care
WFC,Financials
WELL,Real Estate
WDC,Information Technology
WU,Information Technology
WRK,Materials
WY,Real Estate
WHR,Consumer Discretionary
WMB,Energy
WLTW,Financials
WYNN,Consumer Discretionary
XEL,Utilities
XRX,Information Technology
XLNX,Information Technology
XYL,Industrials
YUM,Consumer Discretionary
ZBH,Health Care
ZION,Financials
ZTS,Health Care
